Data monitoring points,Distance (m),Charge per delay (kg),Scaled distance (m/kg^1/2),PPV (mm/s),Vertical PPV (mm/s),Longitudinal PPV (mm/s),Transvers PPV (mm/s)
1,300,1850,6.97,189.46,110.5,109.45,108.2
2,350,1850,8.14,149.16,86.25,85.95,86.15
3,400,1875,9.24,122.17,70.45,71.25,69.65
4,450,1950,10.2,104.3,60.2,60.35,60.1
5,500,1950,11.32,87.1,50.9,50.2,49.75
6,550,1950,12.46,75.46,43.7,43.85,43.15
7,600,1950,13.59,68.68,39.5,40.5,38.95
8,650,1875,15.01,56.32,32.35,32.75,32.45
9,700,1875,16.17,48.74,28.8,27.5,28.1
10,750,1875,17.32,43.62,25.75,24.95,24.85
11,800,1912.5,18.29,40.48,23.6,22.65,23.85
12,850,1912.5,19.44,36.69,21.45,21.15,20.95
13,900,1912.5,20.58,33.81,19.55,19.15,19.85
14,950,1900,21.79,31.23,17.85,18.95,17.25
15,1000,1875,23.09,28.21,16.25,16.85,15.75
16,1050,2950,19.33,36.7,21.65,20.75,21.15
17,1100,1800,25.93,22.98,13.5,13.05,13.25
18,1150,2750,21.93,30.99,17.65,18.75,17.25
19,1200,2150,25.88,23.42,13.55,13.05,13.95
20,1250,2050,27.61,21.08,12.2,11.75,12.55
21,300,1450,7.88,156.95,90.85,90.75,90.25
22,350,1450,9.19,100.94,71.05,71.3,70.95
23,400,1400,10.69,96.18,55.75,55.75,55.08
24,450,1450,11.82,82.13,47.5,47.4,47.35
25,500,1400,13.36,67.64,39.05,39.15,38.95
26,550,1500,14.2,60.63,35.45,35.55,35.75
27,600,1200,17.32,45.63,25.7,25.85,27.45
28,650,1850,15.11,55.48,32.05,32,32.05
29,700,1850,16.27,49.19,28.4,28.45,28.35
30,750,950,24.33,25.81,14.95,14.9,14.85
31,800,1350,21.77,30.8,17.8,17.7,17.85
32,850,1250,24.04,26.33,15.25,15.2,15.15
33,900,1250,25.46,23.51,13.95,13.8,12.95
34,950,1500,24.53,25.32,14.75,14.85,14.25
35,1000,1500,25.82,23.3,13.5,13.25,13.35
36,1050,1750,25.1,24.39,14.25,13.95,14.05
37,1100,2350,22.69,28.32,16.75,16.05,16.25
38,1150,1350,31.3,17.26,10,9.85,10.05
39,1200,1450,31.51,16.75,9.9,9.85,9.25
40,1250,2755,23.81,26.36,15.5,15.2,14.95
41,300,1650,7.39,174.16,100.75,101.05,99.85
42,350,1550,8.89,128.35,74.9,73.45,73.95
43,400,1355,10.89,94.17,54.3,54.95,53.85
44,450,1555,11.22,86.63,50.25,49.75,50.05
45,500,1850,11.62,83.8,48.75,48.35,48.05
46,550,1900,12.62,62.24,35.95,36.15,36.95
47,600,1400,16.03,50.67,29.15,29.75,28.85
48,650,1100,19.6,36.17,21.15,20.55,20.95
49,700,1250,19.8,34.77,20.8,21.05,20.1
50,750,1500,19.3,36.41,21.55,20.45,21.05
51,800,1800,18.86,38.42,22.45,22.1,21.95
52,850,1950,19.25,36.85,21.75,20.65,20.05
53,900,1250,25.46,23.42,13.9,13.1,13.55
54,950,1250,26.87,21.25,12.75,11.95,12.1
55,1000,1200,28.88,18.62,10.75,11.05,10.45
56,1050,1950,23.78,26.58,15.5,14.55,15.95
57,1100,1800,25.93,22.73,13.05,13.55,12.75
58,1150,1800,27.11,21.17,12.55,11.85,12.25
59,1200,1800,28.28,19.44,11.75,10.65,11.25
60,1250,1950,28.31,18.83,10.25,11.75,10.55
61,300,1600,7.5,191.01,110.44,110.42,109.98
62,350,1450,9.19,142.44,82.24,82.26,82.22
63,400,1850,9.3,140,80.85,80.81,80.83
64,450,1700,10.91,111.06,64.1,64.15,64.12
65,500,1300,13.87,78.29,45.3,44.95,45.35
66,550,1750,13.15,84.74,48.94,48.85,48.98
67,600,1950,13.59,80.79,46.66,46.65,46.62
68,650,1800,15.32,68.04,39.2,39.25,39.4
69,700,1200,20.21,45.44,26.24,26.15,26.32
70,750,1150,22.12,39.85,23.02,22.95,23.05
71,800,1650,19.69,47.11,27.24,27.15,27.2
72,850,1050,26.23,30.65,17.98,17.85,17.25
73,900,1850,20.92,42.93,24.95,24.55,24.85
74,950,1300,26.35,28.87,17.86,17.65,17.95
75,1000,1950,22.65,38.37,22.25,22.05,22.15
76,1050,1100,31.66,23.55,13.69,13.45,13.65
77,1100,1250,31.11,24.15,14.03,13.85,13.95
78,1150,1350,31.3,23.8,13.91,13.45,13.85
79,1200,1500,30.98,24.29,14.12,13.9,14.05
80,1250,1750,29.88,25.74,14.88,14.8,14.9
81,300,1500,7.75,182.33,105.61,104.95,105.24
82,350,1950,7.93,175.74,101.52,101.32,101.55
83,400,1850,9.3,129.45,77.11,77,69.88
84,450,1100,13.57,69.715,40.27,40.15,40.33
85,500,1050,15.43,55.67,32.28,31.98,32.17
86,550,1750,13.15,73.31,42.51,42.02,42.45
87,600,1200,17.32,45.77,26.46,26.39,26.42
88,650,1400,17.37,45.6,26.33,26.3,26.35
89,700,1700,16.98,47.42,27.39,27.32,27.43
90,750,1350,20.41,34.38,19.95,19.75,19.84
91,800,1800,18.86,39.54,22.86,22.84,22.79
92,850,1300,23.57,26.87,15.57,15.45,15.52
93,900,1550,22.86,28.39,16.42,16.35,16.4
94,950,1200,27.42,20.83,12,12.05,12.02
95,1000,1950,22.65,28.85,16.69,16.66,16.62
96,1050,1900,24.09,26.02,15,15.05,15.02
97,1100,1100,33.17,13.94,8.66,8.59,8.62
98,1150,1400,30.74,15.36,8.87,8.89,8.84
99,1200,1550,30.48,17.4,10.01,10.05,10.08
100,1250,1650,30.77,15.01,9.85,9.79,9.81
101,300,1400,8.02,198.71,114.7,114.75,114.72
102,350,1250,9.9,146.44,84.85,84.82,83.97
103,400,1600,10,144.37,83.63,82.98,83.45
104,450,1150,13.27,96.67,55.81,55.78,55.84
105,500,1000,15.81,75.27,43.44,43.41,43.52
106,550,2050,12.15,109.62,63.32,63.25,63.3
107,600,1350,16.33,71.75,41.48,41.35,41.44
108,650,1250,18.38,60.52,35.01,34.85,34.96
109,700,1650,17.23,64.28,38.4,38.38,34.42
110,750,1250,21.21,49.38,28.53,28.49,28.51
111,800,1900,18.35,60.73,35.1,35.03,35.06
112,850,1350,23.13,43.65,25.21,25.14,25.26
113,900,1300,24.96,39.16,22.61,22.63,22.58
114,950,1700,23.04,43.85,25.35,25.29,25.31
115,1000,1550,25.4,38.26,22.05,22.12,22.09
116,1050,1650,25.85,37.24,21.51,21.46,21.54
117,1100,1500,28.4,32.49,18.8,18.75,18.72
118,1150,1250,32.53,26.73,15.48,15.39,15.43
119,1200,1450,31.51,27.95,16.2,16.08,16.13
120,1250,1750,29.88,30.26,17.48,17.42,17.51
121,300,1050,9.26,247.53,142.91,142.94,142.89
122,350,1150,10.32,217.742,125.71,125.69,125.74
123,400,1250,11.31,195.31,112.8,112.72,112.77
124,450,1400,12.03,181.15,104.95,104.91,103.89
125,500,1450,13.13,163.81,94.62,94.58,94.53
126,550,1300,15.25,137.41,79.28,79.34,79.38
127,600,1450,15.76,131.94,76.31,75.95,76.26
128,650,1350,17.69,115.29,66.56,66.51,66.62
129,700,1650,17.23,118.47,68.65,67.93,68.62
130,750,1500,19.36,103.57,59.83,59.87,59.68
131,800,1100,24.12,79.86,46.17,46.1,46.05
132,850,1000,26.88,70.28,40.63,40.57,40.53
133,900,1300,24.96,76.87,44.34,44.39,44.42
134,950,1200,27.42,68.66,39.68,39.6,39.65
135,1000,1700,24.25,79.37,45.87,45.83,45.78
136,1050,1600,26.25,72.26,41.78,41.66,41.72
137,1100,1100,33.17,54.88,31.71,31.7,31.64
138,1150,1050,35.49,50.59,29.27,29.15,29.21
139,1200,1350,32.66,55.9,32.29,32.35,32.19
140,1250,1250,35.36,50.84,29.4,29.34,29.31
141,300,1550,7.62,138.28,79.83,79.8,79.88
142,350,1600,8.75,105.96,61.13,61.22,61.18
143,400,1650,9.85,84.19,48.67,48.53,48.62
144,450,1450,11.82,59.22,34.23,34.15,34.2
145,500,1950,11.32,64.51,37.17,37.32,37.24
146,550,1750,13.15,48.27,27.86,27.91,27.83
147,600,1550,15.24,36.21,20.95,20.87,20.9
148,650,1250,18.38,25.24,14.59,14.5,14.63
149,700,1350,19.05,23.5,13.62,13.57,13.51
150,750,1450,19.7,22.11,12.77,12.7,12.82
151,800,1450,21.01,19.45,11.27,11.22,11.19
152,850,1500,21.95,18,10.36,10.42,10.39
153,900,1600,22.5,17,9.88,9.75,9.82
154,950,1350,25.86,13.07,7.55,7.48,7.61
155,1000,1250,28.28,10.98,6.35,6.27,6.4
156,1050,1050,32.4,8.35,4.89,4.81,4.76
157,1100,1100,33.17,8,4.67,4.55,4.63
158,1150,1250,32.53,8.33,4.85,4.8,4.78
159,1200,1600,30,9.75,5.67,5.59,5.62
160,1250,1750,29.88,9.98,5.71,5.76,5.82
161,300,1200,8.66,183.69,106,106.12,106.04
162,350,1150,10.32,144.06,83.21,83.12,83.19
163,400,1800,9.43,163.19,94.28,94.15,94.22
164,450,1850,10.46,141.31,81.66,81.58,81.52
165,500,1950,11.32,126.9,73.22,73.27,73.31
166,550,1450,14.44,90.52,52.33,52.26,52.2
167,600,1350,16.33,76.51,44.18,44.25,44.09
168,650,1450,17.07,71.97,41.56,41.48,41.61
169,700,1500,18.07,66.52,38.4,38.35,38.46
170,750,1750,17.93,67.26,38.83,38.79,38.88
171,800,1650,19.69,59.02,34.11,33.92,34.19
172,850,1700,20.62,55.49,32.03,32.11,31.98
173,900,1750,21.51,52.42,30.2,30.32,30.27
174,950,1600,23.75,45.55,26.34,26.25,26.3
175,1000,1850,23.25,46.77,27.13,26.85,27.02
176,1050,1400,28.06,36.12,20.93,20.79,20.84
177,1100,1450,28.89,34.93,20.11,20.23,20.16
178,1150,1350,31.3,31.35,18,18.19,18.11
179,1200,1800,28.28,35.87,20.7,20.81,20.62
180,1250,1950,28.31,35.68,20.68,20.52,20.6
181,300,850,10.29,144.74,83.56,83.47,83.66
182,350,750,12.78,107.13,61.96,61.84,61.75
183,400,1300,11.09,129.91,75.32,75.4,74.28
184,450,1100,13.57,98.97,57.05,57.22,57.15
185,500,650,19.61,59.54,34.31,34.38,34.43
186,550,1500,14.2,92.78,53.57,53.48,53.65
187,600,1750,14.34,91.49,52.84,52.72,52.9
188,650,950,21.09,53.94,31.04,31.15,31.24
189,700,1000,22.14,50.24,29.03,29.12,28.86
190,750,1300,20.8,54.8,31.63,31.56,31.72
191,800,950,25.96,40.48,23.31,23.42,23.38
192,850,950,27.58,37.23,21.44,21.56,21.49
193,900,1200,25.98,40.13,23.27,23.08,23.16
194,950,1550,24.13,44.51,25.77,25.62,25.7
195,1000,850,34.3,27.47,15.86,15.92,15.8
196,1050,1400,28.06,36.11,20.93,20.85,20.77
197,1100,1400,29.4,34.17,19.63,19.75,19.81
198,1150,700,43.47,19.69,11.44,11.29,11.38
199,1200,1600,30,33.07,19.08,19.22,18.97
200,1250,1000,39.53,22.81,13.04,13.17,13.29
